код,Гаалийн газар хорооны код,Гаалийн газар хорооны нэр,Төрөл,Он,Сар,Дүн
1,1,ГЕГазар,Татвар,2024,1,146.74
2,2,Улаанбаатар хот дахь ГГ,Татвар,2024,1,311151.08
3,3,Замын-Үүд дэх ГГ,Татвар,2024,1,93951.3
4,5,Чингис хаан ОУНБ ГГ,Татвар,2024,1,19881.36
5,4,Сэлэнгэ аймаг дахь ГГ,Татвар,2024,1,22184.67
6,14,Гашуунсухайт дахь ГГ,Татвар,2024,1,29757.96
7,15,Шивээхүрэн дэх ГГ,Татвар,2024,1,9688.18
8,11,Сайншанд дахь ГГ,Татвар,2024,1,8530.44
9,8,Ховд аймгийн Булган дахь ГГ,Татвар,2024,1,679.51
10,7,Баян-Өлгий аймаг дахь ГГ,Татвар,2024,1,6349.85
11,10,Орхон аймаг дахь ГГ,Татвар,2024,1,5053.05
12,13,Дархан-Уул аймаг дахь ГГ,Татвар,2024,1,9078.62
13,6,Дорнод аймаг дахь ГГ,Татвар,2024,1,3120.75
14,9,Увс аймаг дахь ГГ,Татвар,2024,1,1899.35
15,12,Улс хоорондын шуудан илгээмж дэх ГХ,Татвар,2024,1,3445.85
16,17,Говь-Алтай аймгийн Бургастай дахь ГХ,Татвар,2024,1,0
17,16,Сүхбаатар аймгийн Бичигт дэх ГХ,Татвар,2024,1,415.18
18,19,Хөвсгөл аймгийн Ханх дахь ГХ,Татвар,2024,1,0
19,18,Завхан аймгийн Арцсуурь дахь ГХ,Татвар,2024,1,15.59
20,20,Ханги дахь гаалийн газар,Татвар,2024,1,0
21,1,ГЕГазар,Хураамж,2024,1,0.09
22,2,Улаанбаатар хот дахь ГГ,Хураамж,2024,1,186.83
23,3,Замын-Үүд дэх ГГ,Хураамж,2024,1,333.47
24,5,Чингис хаан ОУНБ ГГ,Хураамж,2024,1,15.22
25,4,Сэлэнгэ аймаг дахь ГГ,Хураамж,2024,1,13.54
26,14,Гашуунсухайт дахь ГГ,Хураамж,2024,1,1884.62
27,15,Шивээхүрэн дэх ГГ,Хураамж,2024,1,2494
28,11,Сайншанд дахь ГГ,Хураамж,2024,1,1677.15
29,8,Ховд аймгийн Булган дахь ГГ,Хураамж,2024,1,289.5
30,7,Баян-Өлгий аймаг дахь ГГ,Хураамж,2024,1,5.46
31,10,Орхон аймаг дахь ГГ,Хураамж,2024,1,70.9
32,13,Дархан-Уул аймаг дахь ГГ,Хураамж,2024,1,582.16
33,6,Дорнод аймаг дахь ГГ,Хураамж,2024,1,4.38
34,9,Увс аймаг дахь ГГ,Хураамж,2024,1,1.73
35,12,Улс хоорондын шуудан илгээмж дэх ГХ,Хураамж,2024,1,16.28
36,17,Говь-Алтай аймгийн Бургастай дахь ГХ,Хураамж,2024,1,173.29
37,16,Сүхбаатар аймгийн Бичигт дэх ГХ,Хураамж,2024,1,229.38
38,19,Хөвсгөл аймгийн Ханх дахь ГХ,Хураамж,2024,1,0.03
39,18,Завхан аймгийн Арцсуурь дахь ГХ,Хураамж,2024,1,0.21
40,20,Ханги дахь гаалийн газар,Хураамж,2024,1,0
41,1,ГЕГазар,Өөрийн орлого,2024,1,211.93
42,2,Улаанбаатар хот дахь ГГ,Өөрийн орлого,2024,1,173.18
43,3,Замын-Үүд дэх ГГ,Өөрийн орлого,2024,1,415.31
44,5,Чингис хаан ОУНБ ГГ,Өөрийн орлого,2024,1,36.91
45,4,Сэлэнгэ аймаг дахь ГГ,Өөрийн орлого,2024,1,46.58
46,14,Гашуунсухайт дахь ГГ,Өөрийн орлого,2024,1,6.47
47,15,Шивээхүрэн дэх ГГ,Өөрийн орлого,2024,1,6.55
48,11,Сайншанд дахь ГГ,Өөрийн орлого,2024,1,154.71
49,8,Ховд аймгийн Булган дахь ГГ,Өөрийн орлого,2024,1,2.71
50,7,Баян-Өлгий аймаг дахь ГГ,Өөрийн орлого,2024,1,7.9
51,10,Орхон аймаг дахь ГГ,Өөрийн орлого,2024,1,2.87
52,13,Дархан-Уул аймаг дахь ГГ,Өөрийн орлого,2024,1,4.91
53,6,Дорнод аймаг дахь ГГ,Өөрийн орлого,2024,1,15.99
54,9,Увс аймаг дахь ГГ,Өөрийн орлого,2024,1,1.23
55,12,Улс хоорондын шуудан илгээмж дэх ГХ,Өөрийн орлого,2024,1,40.02
56,17,Говь-Алтай аймгийн Бургастай дахь ГХ,Өөрийн орлого,2024,1,0.37
57,16,Сүхбаатар аймгийн Бичигт дэх ГХ,Өөрийн орлого,2024,1,4.99
58,19,Хөвсгөл аймгийн Ханх дахь ГХ,Өөрийн орлого,2024,1,0.74
59,18,Завхан аймгийн Арцсуурь дахь ГХ,Өөрийн орлого,2024,1,3.74
60,20,Ханги дахь гаалийн газар,Өөрийн орлого,2024,1,0
61,1,ГЕГазар,Татвар,2024,2,1302.39
62,2,Улаанбаатар хот дахь ГГ,Татвар,2024,2,213231.53
63,3,Замын-Үүд дэх ГГ,Татвар,2024,2,52579.1
64,5,Чингис хаан ОУНБ ГГ,Татвар,2024,2,21173.92
65,4,Сэлэнгэ аймаг дахь ГГ,Татвар,2024,2,24300.22
66,14,Гашуунсухайт дахь ГГ,Татвар,2024,2,25125.43
67,15,Шивээхүрэн дэх ГГ,Татвар,2024,2,4449.57
68,11,Сайншанд дахь ГГ,Татвар,2024,2,7070.29
69,8,Ховд аймгийн Булган дахь ГГ,Татвар,2024,2,1264.78
70,7,Баян-Өлгий аймаг дахь ГГ,Татвар,2024,2,4310.32
71,10,Орхон аймаг дахь ГГ,Татвар,2024,2,2939.74
72,13,Дархан-Уул аймаг дахь ГГ,Татвар,2024,2,8510.98
73,6,Дорнод аймаг дахь ГГ,Татвар,2024,2,3491.45
74,9,Увс аймаг дахь ГГ,Татвар,2024,2,1242.62
75,12,Улс хоорондын шуудан илгээмж дэх ГХ,Татвар,2024,2,3264.44
76,17,Говь-Алтай аймгийн Бургастай дахь ГХ,Татвар,2024,2,0
77,16,Сүхбаатар аймгийн Бичигт дэх ГХ,Татвар,2024,2,549.35
78,19,Хөвсгөл аймгийн Ханх дахь ГХ,Татвар,2024,2,10
79,18,Завхан аймгийн Арцсуурь дахь ГХ,Татвар,2024,2,0
80,20,Ханги дахь гаалийн газар,Татвар,2024,2,0
81,1,ГЕГазар,Хураамж,2024,2,0
82,2,Улаанбаатар хот дахь ГГ,Хураамж,2024,2,155.9
83,3,Замын-Үүд дэх ГГ,Хураамж,2024,2,76.92
84,5,Чингис хаан ОУНБ ГГ,Хураамж,2024,2,9.41
85,4,Сэлэнгэ аймаг дахь ГГ,Хураамж,2024,2,26.22
86,14,Гашуунсухайт дахь ГГ,Хураамж,2024,2,768.69
87,15,Шивээхүрэн дэх ГГ,Хураамж,2024,2,4950.93
88,11,Сайншанд дахь ГГ,Хураамж,2024,2,1997.92
89,8,Ховд аймгийн Булган дахь ГГ,Хураамж,2024,2,300.41
90,7,Баян-Өлгий аймаг дахь ГГ,Хураамж,2024,2,3.58
91,10,Орхон аймаг дахь ГГ,Хураамж,2024,2,58.89
92,13,Дархан-Уул аймаг дахь ГГ,Хураамж,2024,2,572.14
93,6,Дорнод аймаг дахь ГГ,Хураамж,2024,2,5.22
94,9,Увс аймаг дахь ГГ,Хураамж,2024,2,0.41
95,12,Улс хоорондын шуудан илгээмж дэх ГХ,Хураамж,2024,2,17
96,17,Говь-Алтай аймгийн Бургастай дахь ГХ,Хураамж,2024,2,114.4
97,16,Сүхбаатар аймгийн Бичигт дэх ГХ,Хураамж,2024,2,131.34
98,19,Хөвсгөл аймгийн Ханх дахь ГХ,Хураамж,2024,2,0.03
99,18,Завхан аймгийн Арцсуурь дахь ГХ,Хураамж,2024,2,0
100,20,Ханги дахь гаалийн газар,Хураамж,2024,2,332.42
101,1,ГЕГазар,Өөрийн орлого,2024,2,519.91
102,2,Улаанбаатар хот дахь ГГ,Өөрийн орлого,2024,2,127.79
103,3,Замын-Үүд дэх ГГ,Өөрийн орлого,2024,2,93.03
104,5,Чингис хаан ОУНБ ГГ,Өөрийн орлого,2024,2,46.73
105,4,Сэлэнгэ аймаг дахь ГГ,Өөрийн орлого,2024,2,22.8
106,14,Гашуунсухайт дахь ГГ,Өөрийн орлого,2024,2,8.19
107,15,Шивээхүрэн дэх ГГ,Өөрийн орлого,2024,2,8.3
108,11,Сайншанд дахь ГГ,Өөрийн орлого,2024,2,49.45
109,8,Ховд аймгийн Булган дахь ГГ,Өөрийн орлого,2024,2,0.25
110,7,Баян-Өлгий аймаг дахь ГГ,Өөрийн орлого,2024,2,22.8
111,10,Орхон аймаг дахь ГГ,Өөрийн орлого,2024,2,2.1
112,13,Дархан-Уул аймаг дахь ГГ,Өөрийн орлого,2024,2,4.06
113,6,Дорнод аймаг дахь ГГ,Өөрийн орлого,2024,2,20.25
114,9,Увс аймаг дахь ГГ,Өөрийн орлого,2024,2,0.8
115,12,Улс хоорондын шуудан илгээмж дэх ГХ,Өөрийн орлого,2024,2,43
116,17,Говь-Алтай аймгийн Бургастай дахь ГХ,Өөрийн орлого,2024,2,0
117,16,Сүхбаатар аймгийн Бичигт дэх ГХ,Өөрийн орлого,2024,2,0.5
118,19,Хөвсгөл аймгийн Ханх дахь ГХ,Өөрийн орлого,2024,2,0.83
119,18,Завхан аймгийн Арцсуурь дахь ГХ,Өөрийн орлого,2024,2,4.62
120,20,Ханги дахь гаалийн газар,Өөрийн орлого,2024,2,0.72
121,1,ГЕГазар,Татвар,2024,3,0
122,2,Улаанбаатар хот дахь ГГ,Татвар,2024,3,242172.51
123,3,Замын-Үүд дэх ГГ,Татвар,2024,3,129341.43
124,5,Чингис хаан ОУНБ ГГ,Татвар,2024,3,28664.04
125,4,Сэлэнгэ аймаг дахь ГГ,Татвар,2024,3,29547.62
126,14,Гашуунсухайт дахь ГГ,Татвар,2024,3,46572.31
127,15,Шивээхүрэн дэх ГГ,Татвар,2024,3,10018.43
128,11,Сайншанд дахь ГГ,Татвар,2024,3,7987.89
129,8,Ховд аймгийн Булган дахь ГГ,Татвар,2024,3,948.08
130,7,Баян-Өлгий аймаг дахь ГГ,Татвар,2024,3,5005.15
131,10,Орхон аймаг дахь ГГ,Татвар,2024,3,5995.23
132,13,Дархан-Уул аймаг дахь ГГ,Татвар,2024,3,4781.11
133,6,Дорнод аймаг дахь ГГ,Татвар,2024,3,3990.19
134,9,Увс аймаг дахь ГГ,Татвар,2024,3,1394.81
135,12,Улс хоорондын шуудан илгээмж дэх ГХ,Татвар,2024,3,4849.55
136,17,Говь-Алтай аймгийн Бургастай дахь ГХ,Татвар,2024,3,0
137,16,Сүхбаатар аймгийн Бичигт дэх ГХ,Татвар,2024,3,1024.99
138,19,Хөвсгөл аймгийн Ханх дахь ГХ,Татвар,2024,3,81.1
139,18,Завхан аймгийн Арцсуурь дахь ГХ,Татвар,2024,3,0
140,20,Ханги дахь гаалийн газар,Татвар,2024,3,0
141,1,ГЕГазар,Хураамж,2024,3,0
142,2,Улаанбаатар хот дахь ГГ,Хураамж,2024,3,183.25
143,3,Замын-Үүд дэх ГГ,Хураамж,2024,3,211.7
144,5,Чингис хаан ОУНБ ГГ,Хураамж,2024,3,12.14
145,4,Сэлэнгэ аймаг дахь ГГ,Хураамж,2024,3,25.43
146,14,Гашуунсухайт дахь ГГ,Хураамж,2024,3,3498.19
147,15,Шивээхүрэн дэх ГГ,Хураамж,2024,3,3096.6
148,11,Сайншанд дахь ГГ,Хураамж,2024,3,1037.85
149,8,Ховд аймгийн Булган дахь ГГ,Хураамж,2024,3,600
150,7,Баян-Өлгий аймаг дахь ГГ,Хураамж,2024,3,4.85
151,10,Орхон аймаг дахь ГГ,Хураамж,2024,3,61.14
152,13,Дархан-Уул аймаг дахь ГГ,Хураамж,2024,3,580.3
153,6,Дорнод аймаг дахь ГГ,Хураамж,2024,3,10.68
154,9,Увс аймаг дахь ГГ,Хураамж,2024,3,0.57
155,12,Улс хоорондын шуудан илгээмж дэх ГХ,Хураамж,2024,3,18
156,17,Говь-Алтай аймгийн Бургастай дахь ГХ,Хураамж,2024,3,309.27
157,16,Сүхбаатар аймгийн Бичигт дэх ГХ,Хураамж,2024,3,306.47
158,19,Хөвсгөл аймгийн Ханх дахь ГХ,Хураамж,2024,3,0.03
