Bordr Cstm Yn,Cstm Cd,Cstm Fg Cd,Cstm Nm,Cstm Nm Bk,Group Id,Upper Cstm Cd,Use Dclr,Use Ib,Use Yn,Audit Team Mgr Cnt,Exp Auditor Cnt,Exp Inspct Team Mgr Cnt,Exp Inspctor Cnt,Imp Auditor Cnt,Imp Inspct Team Mgr Cnt,Imp Inspctor Cnt,Impexp Auditor Cnt,Impexp Inspct Team Mgr Cnt,Impexp Inspctor Cnt
N,16600,30,Статистик,Статистик,,16,Y,N,Y,0,0,0,0,0,0,0,0,0,0
N,17,20,Говь Алтай дахь гаалийн хороо,Говь Алтай дахь гаалийн хороо,,01,Y,N,Y,0,0,0,0,0,0,0,0,0,0
N,17200,30,"Гаалийн хяналт,  бүрдүүлэлтийн алба","Гаалийн хяналт,  бүрдүүлэлтийн алба",,17,Y,N,Y,0,0,0,0,0,0,0,0,0,0
N,17502,30,"Үнэ, үнэлгээний хэсэг","Үнэ, үнэлгээний хэсэг",,17,Y,N,Y,0,0,0,0,0,0,0,0,0,0
N,17901,30,Говь-Алтай гүний гааль ,Говь-Алтай гүний гааль ,,17,Y,N,Y,0,0,0,0,0,0,0,0,0,0
Y,18200,30,"Гаалийн хяналт,  бүрдүүлэлтийн алба","Гаалийн хяналт,  бүрдүүлэлтийн алба",,18,Y,N,Y,0,0,0,0,0,0,0,0,0,0
N,18503,30,Санхүүгийн хэсэг,Санхүүгийн хэсэг,,18,Y,N,Y,0,0,0,0,0,0,0,0,0,0
N,18901,30,Арцсуурь,Арцсуурь,,18,Y,N,N,0,0,0,0,0,0,0,0,0,0
N,19,20,Хөвсгөл дэх гаалийн хороо,Хөвсгөл дэх гаалийн хороо,,01,Y,N,Y,0,0,0,0,0,0,0,0,0,0
Y,19200,30,"Гаалийн хяналт,  бүрдүүлэлтийн алба","Гаалийн хяналт,  бүрдүүлэлтийн алба",,19,Y,N,Y,0,0,0,0,0,0,0,0,0,0
N,19300,30,Гаалийн зөрчлөөс урьдчилан сэргийлэх хэсэг,Гаалийн зөрчлөөс урьдчилан сэргийлэх хэсэг,,19,Y,N,Y,0,0,0,0,0,0,0,0,0,0
N,19800,30,Эрсдэл,Эрсдэл,,19,Y,N,Y,0,0,0,0,0,0,0,0,0,0
N,19901,30,Хөвсгөл дэх гүний гааль,Хөвсгөл дэх гүний гааль,,19,Y,N,Y,0,0,0,0,0,0,0,0,0,0
N,10,20,Орхон дахь гаалийн газар,Орхон дахь гаалийн газар,,01,Y,N,Y,0,0,0,0,0,0,0,0,0,0
N,01120,10,"Хяналт шинжилгээ, үнэлгээ, дотоод аудитын газар","Мэдээлэл, хяналт-шинжилгээ, үнэлгээний хэлтэс",,01,Y,N,Y,0,0,0,0,0,0,0,0,0,0
N,01202,30,"Манифест, тээврийн хөдөлгөөн хариуцсан хэсэг","Манифест, тээврийн хөдөлгөөн хариуцсан хэсэг",,01,Y,N,N,0,0,0,0,0,0,0,0,0,0
N,01205,30,Бүрдүүлэлт хариуцсан хэсэг,Бүрдүүлэлт хариуцсан хэсэг,,01,Y,N,N,0,0,0,0,0,0,0,0,0,0
N,02203,30,Нефтийн бүрдүүлэлт,Нефтийн бүрдүүлэлт,,02,Y,N,N,0,0,0,0,0,0,0,0,0,0
N,02205,30,Багануур дахь төмөр замын хэсэг,Багануур дахь төмөр замын хэсэг,,02,Y,N,N,0,0,0,0,0,0,0,0,0,0
N,02400,30,Бүрдүүлэлтийн дараах шалгалтын алба,Бүрдүүлэлтийн дараах шалгалтын алба,,02,Y,N,N,0,0,0,0,0,0,0,0,0,0
N,02505,30,Хураамж,Хураамж,,02,Y,N,N,0,0,0,0,0,0,0,0,0,0
N,02800,30,Эрсдлийн алба,Эрсдлийн алба,,02,Y,N,Y,0,0,0,0,0,0,0,0,0,0
N,02902,30,АБТЭМА /гаалийн салбар/,АБТЭМА /гаалийн салбар/,1,02,Y,N,Y,0,0,0,3,0,0,3,0,0,5
N,02906,30,Монгол экспресс ,Монгол экспресс ,2,02,Y,N,Y,0,0,0,0,0,0,0,0,0,0
N,02908,30,Монголтранс ,Монголтранс ,1,02,Y,N,Y,0,0,0,0,0,0,0,0,0,0
N,02909,30,Эрин интернэшнл /тусгай бүс/,Эрин интернэшнл /тусгай бүс/,2,02,Y,N,Y,0,0,0,0,0,0,0,0,0,0
Y,03200,30,"Гаалийн хяналт, бүрдүүлэлтийн хэлтэс","Гаалийн хяналт, бүрдүүлэлтийн хэлтэс",1,03,Y,N,Y,0,0,0,0,0,0,0,0,0,0
Y,03202,30,Төмөр замын тээврийн хяналтын хэсэг,Төмөр замын тээврийн хяналтын хэсэг,3,03,Y,N,Y,1,0,0,0,0,0,0,1,0,2
N,03503,30,Санхүүгийн хэсэг,Санхүүгийн хэсэг,,03,N,N,Y,0,0,0,0,0,0,0,0,0,0
N,03600,30,Статистик,Статистик,,03,N,N,Y,0,0,0,0,0,0,0,0,0,0
Y,03903,30,Нарийн төмөр зам,Нарийн төмөр зам ,3,03,Y,N,Y,1,1,0,1,1,0,1,0,0,0
Y,03904,30,Чингэлэг шалгах рентген төхөөрөмж,Чингэлэг шалгах рентген төхөөрөмж,,03,N,N,Y,0,0,0,0,0,0,0,0,0,0
Y,04200,30,Гаалийн хяналт бүрдүүлэлтийн хэлтэс,"Гаалийн хяналт, бүрдүүлэлтийн хэлтэс",,04,Y,N,Y,0,0,0,0,0,0,0,0,0,0
Y,06204,30,Баянхошуу дахь гаалийн салбар,Баянхошуу дахь гаалийн салбар,,06,Y,N,Y,0,0,0,0,0,0,0,0,0,0
Y,06205,30,Сүмбэр дахь гаалийн сaлбар,Сүмбэр дахь гаалийн сaлбар,,06,Y,N,Y,0,0,0,0,0,0,0,0,0,0
N,06300,30,Гаалийн зөрчлөөс урьдчилан сэргийлэх алба,Гаалийн зөрчлөөс урьдчилан сэргийлэх алба,,06,Y,N,N,0,0,0,0,0,0,0,0,0,0
N,06500,30,"Санхүү, татварын хэлтэс","Санхүү, татварын хэлтэс",,06,Y,N,N,0,0,0,0,0,0,0,0,0,0
N,06501,30,БТКУС-ын хэсэг,БТКУС-ын хэсэг,,06,Y,N,N,0,0,0,0,0,0,0,0,0,0
N,06503,30,Санхүүгийн хэсэг,Санхүүгийн хэсэг,,06,Y,N,N,0,0,0,0,0,0,0,0,0,0
N,06504,30,Татвар,Татвар,,06,Y,N,N,0,0,0,0,0,0,0,0,0,0
N,06505,30,Хураамж,Хураамж,,06,Y,N,N,0,0,0,0,0,0,0,0,0,0
N,06600,30,Статистик,Статистик,,06,Y,N,N,0,0,0,0,0,0,0,0,0,0
N,06800,30,Эрсдэл,Эрсдэл,,06,Y,N,N,0,0,0,0,0,0,0,0,0,0
