Cst_Cd,Cstm_Nm,Cstm_Nm_Bk,Audit_Team_Mgr_Cnt,Exp_Auditor_Cnt,Exp_Inspct_Team_Mgr_Cnt,Exp_Inspctor_Cnt,Imp_Auditor_Cnt,Imp_Inspct_Team_Mgr_Cnt,Imp_Inspctor_Cnt
16600,Статистик,Статистик,0,0,0,0,0,0,0
17,Говь Алтай дахь гаалийн хороо,Говь Алтай дахь гаалийн хороо,0,0,0,0,0,0,0
17200,"Гаалийн хяналт,  бүрдүүлэлтийн алба","Гаалийн хяналт,  бүрдүүлэлтийн алба",0,0,0,0,0,0,0
17502,"Үнэ, үнэлгээний хэсэг","Үнэ, үнэлгээний хэсэг",0,0,0,0,0,0,0
17901,Говь-Алтай гүний гааль ,Говь-Алтай гүний гааль ,0,0,0,0,0,0,0
18200,"Гаалийн хяналт,  бүрдүүлэлтийн алба","Гаалийн хяналт,  бүрдүүлэлтийн алба",0,0,0,0,0,0,0
18503,Санхүүгийн хэсэг,Санхүүгийн хэсэг,0,0,0,0,0,0,0
18901,Арцсуурь,Арцсуурь,0,0,0,0,0,0,0
19,Хөвсгөл дэх гаалийн хороо,Хөвсгөл дэх гаалийн хороо,0,0,0,0,0,0,0
19200,"Гаалийн хяналт,  бүрдүүлэлтийн алба","Гаалийн хяналт,  бүрдүүлэлтийн алба",0,0,0,0,0,0,0
19300,Гаалийн зөрчлөөс урьдчилан сэргийлэх хэсэг,Гаалийн зөрчлөөс урьдчилан сэргийлэх хэсэг,0,0,0,0,0,0,0
19800,Эрсдэл,Эрсдэл,0,0,0,0,0,0,0
19901,Хөвсгөл дэх гүний гааль,Хөвсгөл дэх гүний гааль,0,0,0,0,0,0,0
10,Орхон дахь гаалийн газар,Орхон дахь гаалийн газар,0,0,0,0,0,0,0
1120,"Хяналт шинжилгээ, үнэлгээ, дотоод аудитын газар","Мэдээлэл, хяналт-шинжилгээ, үнэлгээний хэлтэс",0,0,0,0,0,0,0
1202,"Манифест, тээврийн хөдөлгөөн хариуцсан хэсэг","Манифест, тээврийн хөдөлгөөн хариуцсан хэсэг",0,0,0,0,0,0,0
1205,Бүрдүүлэлт хариуцсан хэсэг,Бүрдүүлэлт хариуцсан хэсэг,0,0,0,0,0,0,0
2203,Нефтийн бүрдүүлэлт,Нефтийн бүрдүүлэлт,0,0,0,0,0,0,0
2205,Багануур дахь төмөр замын хэсэг,Багануур дахь төмөр замын хэсэг,0,0,0,0,0,0,0
2400,Бүрдүүлэлтийн дараах шалгалтын алба,Бүрдүүлэлтийн дараах шалгалтын алба,0,0,0,0,0,0,0
2505,Хураамж,Хураамж,0,0,0,0,0,0,0
2800,Эрсдлийн алба,Эрсдлийн алба,0,0,0,0,0,0,0
